idx,product,materials
193,"Methanaminium, N-[4-[[4-(dimethylamino)phenyl][4-(phenylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Victoria Blue R
194,"Beta-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)",Beta-Cyclodextrin
195,"Gamma-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)","Gamma-cyclodextrin,Tridecafluorohexanesulfonic acid"
196,"Sulfonium, triphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",Triphenylsulfonium chloride
197,"Sulfonium, [4-[(2-methyl-1-oxo-2-propen-1-yl)oxy]phenyl]diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",4-(diphenylsulfonio)phenyl methacrylate
198,"Sulfonium, (4-methylphenyl)diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",(4-Methylphenyl)diphenylsulfonium trifluoromethanesulfonate
199,"Iodonium, bis[(1,1-dimethylethyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1) (9CI)",tert-butylbenzene
200,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. with N,N-diethylethanamine (1:1)","1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-"
201,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, sodium salt","1-Iodo-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane"
202,"p-(1,1-dimethylpropyl)phenol",Phenol
203,Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,"1H,1H,2H,2H-perfluorododecan-1-ol"
204,sodium nonadecafluorodecanoate,perfluorodecanoic acid
205,Ammonium nonadecafluorodecanoate,Perfluorodecanoic acid
206,Nonadecafluorodecanoic acid,Decanoic acid
207,"4-heptylphenol, branched and linear","Phenol, heptene"
208,4-heptylphenol,Phenol
209,"Phenol, heptyl derivs.","Phenol, 1-heptene"
210,4-(3-ethylpentan-3-yl)phenol,Phenol
211,4-(2-methylhexan-2-yl)phenol,"Phenol,2-methylhex-2-ene"
212,"4-(3,3-dimethylpentan-2-yl)phenol",Phenol
213,4-(3-methylhexan-2-yl)phenol,Phenol
214,"4-(4,4-dimethylpentan-2-yl)phenol",Phenol
215,4-(4-methylhexan-2-yl)phenol,Phenol
216,4-(5-methylhexan-2-yl)phenol,Phenol
217,"4-(2,2-dimethylpentan-3-yl)phenol",phenol
218,4-(5-methylhexan-3-yl)phenol,Phenol
219,4-(heptan-3-yl)phenol,Phenol
220,4-(heptan-2-yl)phenol,"Phenol,2-heptene"
221,4-(heptan-4-yl)phenol,Phenol
222,4-(3-ethylpentyl)phenol,Phenol
223,4-(3-methylhexyl)phenol,Phenol
224,4-(4-methylhexyl)phenol,Phenol
225,4-(5-methylhexyl)phenol,Phenol
226,"4-(2,4-dimethylpentan-3-yl)phenol",Phenol
227,"Phenol, 4-tert-heptyl-",Phenol
228,"Phenol, 4-(1-ethyl-1,2-dimethylpropyl)-",Phenol
229,"4-(2,3-dimethylpentan-2-yl)phenol",Phenol
230,"4-(2,4-dimethylpentan-2-yl)phenol",Phenol
231,4-(3-methylhexan-3-yl)phenol,Phenol
232,"4-(2,3,3-trimethylbutan-2-yl)phenol",Phenol
233,"4,4'-isopropylidenediphenol","Phenol,Acetone"
234,Benzo[def]chrysene (Benzo[a]pyrene),Pyrene
235,Perfluorononan-1-oic-acid and its sodium and ammonium salts,"1H,1H,2H,2H-perfluoroundecan-1-ol"
236,ammonium heptadecafluorononanoate,heptadecafluorononanoic acid
237,Perfluorononan-1-oic-acid,"1H,1H,2H,2H-perfluoroundecan-1-ol"
238,sodium heptadecafluorononanoate,perfluorononanoic acid
239,Nitrobenzene,Benzene
240,2-(2H-benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol (UV-350),2-nitroaniline
241,"2,4-di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol (UV-327)","2,4-di-tert-butylphenol"
242,"1,3-propanesultone",3-chloro-1-propanol
243,"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [2]","2-methyl-2-sec-butyl-1,3-propanediol"
244,"Reaction mass of 5-[(2R)-butan-2-yl]-2-[(1R,2R)-2,4-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2R)-butan-2-yl]-2-[(1R,6R)-4,6-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2S)-butan-2-yl]-2-[(1R,2R)-2,4-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2S)-butan-2-yl]-2-[(1S,2R)-2,4-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2S)-butan-2-yl]-2-[(1S,6R)-4,6-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane","2,2-dimethyl-1,3-propanediol"
245,"1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexen-1-yl)-5-methyl-5-(1-methylpropyl)-","2,4-dimethyl-3-cyclohexene-1-carboxaldehyde"
246,"5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane","2-methyl-2-sec-butyl-1,3-propanediol,4,6-dimethylcyclohex-3-ene-1-carbaldehyde"
247,"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","2,4-dimethyl-3-cyclohexene-1-carboxaldehyde"
248,"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-rel-","2,4-Dimethyl-3-cyclohexenecarbaldehyde"
249,"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","2,4-Dimethyl-3-cyclohexene-1-carboxaldehyde"
250,"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-rel-","2,4-dimethyl-3-cyclohexene-1-carboxaldehyde"
251,"1,3-Dioxane, 2-[(1R,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","2,4-dimethyl-3-cyclohexene-1-carboxaldehyde"
252,"1,3-Dioxane, 2-[(1R,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","2,4-dimethyl-3-cyclohexene-1-carboxaldehyde"
253,"1,3-Dioxane, 2-[(1S,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","2,4-Dimethyl-3-cyclohexene-1-carboxaldehyde"
254,"1,3-Dioxane, 2-[(1S,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","2,4-dimethylcyclohex-3-ene-1-carbaldehyde"
255,"1,3-Dioxane, 2-[(1S,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","3-methyl-2-(1-methylpropyl)propane-1,3-diol"
256,"1,3-Dioxane, 2-[(1S,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","2,4-Dimethyl-3-cyclohexenecarbaldehyde"
257,"Reaction mass of 5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane and 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane","2,4-dimethylcyclohex-3-ene-1-carbaldehyde"
258,"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane","2,4-dimethylcyclohex-3-ene-1-carbaldehyde, 2-methyl-2-sec-butylpropane-1,3-diol"
259,"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters or mixed decyl and hexyl and octyl diesters",Phthalic anhydride
260,"1,2-Benzenedicarboxylic acid, mixed decyl and hexyl and octyl diesters",Phthalic anhydride
261,"1,2-Benzenedicarboxylic acid, di-C6-10-alkyl esters",Phthalic anhydride
262,"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)",Dioctyltin oxide
263,Cadmium sulphate,Cadmium oxide
264,"Sulfuric acid, cadmium salt (1:1), hydrate",Cadmium oxide
265,"Sulfuric acid, cadmium salt, hydrate (3:3:8)",Cadmium sulfate
266,Cadmium fluoride,Cadmium oxide
267,"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (DOTE)",Dioctyltin dichloride
268,"2-benzotriazol-2-yl-4,6-di-tert-butylphenol (UV-320)","2-nitro-4,6-di-tert-butylaniline"
269,"2-(2H-benzotriazol-2-yl)-4,6-ditertpentylphenol (UV-328)","2,4-di-tert-pentylphenol"
270,Sodium peroxometaborate,Sodium borate
271,"Sodium perborate, perboric acid, sodium salt","Sodium tetraborate, hydrogen peroxide"
272,"Perboric acid, sodium salt, tetrahydrate ()","Sodium metaborate, hydrogen peroxide"
273,"Perboric acid (HBO(O2)), sodium salt, tetrahydrate",Sodium metaborate
274,Sodium perborate monohydrate,Sodium tetraborate pentahydrate
275,"Perboric acid, sodium salt",Sodium tetraborate
276,Sodium perborate,Borax
277,"Borate(2-), tetrahydroxybis[μ-(peroxy-κO1:κO2)]di-, sodium, hydrate (1:2:6)",Sodium perborate tetrahydrate
278,"Borate(2-), tetrahydroxybis[μ-(peroxy-κO1:κO2)]di-, sodium (1:2)",Sodium perborate tetrahydrate
279,"Perboric acid (H3BO2(O2)), monosodium salt, trihydrate",Sodium tetraborate decahydrate
280,Cadmium chloride,Cadmium oxide
281,"cadmium chloride (CdCl2), hydrate (2:5)",Cadmium oxide
282,"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",Phthalic anhydride
283,Trixylyl phosphate,Xylenol
284,Lead di(acetate),Lead(II) oxide
285,Imidazolidine-2-thione (2-imidazoline-2-thiol),"Ethylenediamine,Carbon disulfide"
286,"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo] -5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate (C.I. Direct Black 38)",Benzidine
287,"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate) (C.I. Direct Red 28)",Benzidine
288,Dihexyl phthalate,Phthalic anhydride
289,Cadmium sulphide,Cadmium chloride
290,Pentadecafluorooctanoic acid (PFOA),Perfluorooctanesulfonyl fluoride
291,Dipentyl phthalate (DPP),Phthalic anhydride
292,Cadmium oxide,Cadmium metal
293,Monteponite (CdO),Cadmium metal
294,Cadmium,Cadmium oxide
295,Ammonium pentadecafluorooctanoate (APFO),Perfluorooctanoic acid
296,"4-Nonylphenol, branched and linear, ethoxylated",Nonylphenol
297,"14-(nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol","Nonylphenol,tetraethylene glycol"
298,"23-(nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol",Nonylphenol
299,"2-{2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethoxy}ethanol","4-(3,6-dimethylheptan-3-yl)phenol"
300,"Nonylphenol, ethoxylated",Nonylphenol
301,2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol,4-Nonylphenol
302,"4-Nonylphenol, ethoxylated",4-Nonylphenol
303,2-(nonylphenoxy)ethanol,4-nonylphenol
304,"4-Nonylphenol, branched, ethoxylated",4-Nonylphenol
305,"26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24- octaoxahexacosan -1-ol",4-Nonylphenol
306,2-[2-(nonylphenoxy)ethoxy]ethanol,Nonylphenol
307,2-[2-(4-nonylphenoxy)ethoxy]ethanol,4-nonylphenol
308,"20-(4-nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",4-nonylphenol
309,"Nonylphenol, branched, ethoxylated",Nonylphenol
310,"2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethanol","4-(3,6-dimethylheptan-3-yl)phenol"
311,Nonylphenolpolyglycolether,Nonylphenol
312,"4-Nonylphenol, branched, ethoxylated",4-Nonylphenol
313,"Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)-ω-hydroxy-",Nonylphenol
314,2-(4-nonylphenoxy)ethanol,4-nonylphenol
315,"29-(nonylphenoxy)-3,6,9,12,15,18,21,24,27-nonaoxanonacosanol",Nonylphenol
316,"20-(nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",Nonylphenol
317,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol",Nonylphenol
318,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol;",Nonylphenol
319,"20-(isononylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",4-isononylphenol
320,"3,6,9,12,15,18,21,24,27-Nonaoxanonacosan-1-ol, 29-(isononylphenoxy)-",Isononylphenol
321,"44-(nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36,39,42-tetradecaoxatetratetracontanol",Nonylphenol
322,"3,6,9,12,15-Pentaoxaheptadecan-1-ol, 17-(nonylphenoxy)-",Nonylphenol
323,"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-",4-Nonylphenol
324,4-t-Nonylphenol-diethoxylate,4-tert-Nonylphenol
325,"Isononylphenol, ethoxylated",Isononylphenol
326,"17-(4-nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol",4-nonylphenol
327,"Nonylphenol, ethoxylated (polymer)",Nonylphenol
328,"Nonylphenol, ethoxylated (EO = 4)",Nonylphenol
329,"Nonylphenol, ethoxylated (EO = 10)",Nonylphenol
330,2-(isononylphenoxy)ethanol,Isononylphenol
331,"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-, branched",Nonylphenol
332,"Nonylphenol, ethoxylated (6,5-EO)",Nonylphenol
333,"Nonylphenol, ethoxylated (8-EO)",Nonylphenol
334,"Nonylphenol, ethoxylated (10-EO)",Nonylphenol
335,"Nonylphenol, ethoxylated (15-EO)",Nonylphenol
336,"Poly (oxy-1,2-ethanediyl), alpha -(nonylphenyl)-omega-hydroxy-, branched",Nonylphenol
337,"Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)-ω-hydroxy-, branched",Nonylphenol
338,Trilead dioxide phosphonate,Lead(II) oxide
339,Trilead bis(carbonate) dihydroxide,Lead(II) nitrate
340,Tricosafluorododecanoic acid,"1H,1H-perfluorododecan-1-ol"
341,Tetralead trioxide sulphate,Lead(II) oxide
342,Tetraethyllead,Ethyl chloride
343,"Sulfurous acid, lead salt, dibasic",Lead(II) oxide
344,"Silicic acid, lead salt",Lead(II) oxide
345,"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped",Barium carbonate
346,"Pyrochlore, antimony lead yellow","Antimony trioxide,Lead(II) oxide"
347,Pentalead tetraoxide sulphate,Lead(II) oxide
348,Pentacosafluorotridecanoic acid,Tridecanoic acid
349,Orange lead (lead tetroxide),Lead(II) oxide
350,o-toluidine,o-nitrotoluene
351,o-aminoazotoluene,o-toluidine
352,n-pentyl-isopentyl phthalate,phthalic anhydride
353,N-methylacetamide,Acetic acid
354,"N,N-dimethylformamide",Dimethylamine
355,Methyloxirane (Propylene oxide),Propene
356,Methoxyacetic acid,Chloroacetic acid
357,Lead titanium zirconium oxide,"Lead(II) acetate trihydrate, Titanium(IV) isopropoxide, Zirconium(IV) n-propoxide"
358,Lead titanium trioxide,"Lead(II) oxide, Titanium(IV) oxide"
359,Lead oxide sulfate,Lead(II) oxide
360,Lead monoxide (lead oxide),Lead
361,Lead dinitrate,Lead(II) oxide
362,Lead cyanamidate,Calcium cyanamide
363,Lead bis(tetrafluoroborate),"Lead(II) oxide, Tetrafluoroboric acid"
364,Hexahydromethylphthalic anhydride,Methyltetrahydrophthalic anhydride
365,Hexahydro-1-methylphthalic anhydride,"1-Methyl-1,2,3,6-tetrahydrophthalic anhydride"
366,Hexahydromethylphthalic anhydride,Methyltetrahydrophthalic anhydride
367,Hexahydro-4-methylphthalic anhydride,"4-Methyl-1,2,3,6-tetrahydrophthalic anhydride"
368,Hexahydro-3-methylphthalic anhydride,3-Methylphthalic anhydride
369,Heptacosafluorotetradecanoic acid,"1H,1H-perfluorotetradecan-1-ol"
370,Henicosafluoroundecanoic acid,Undecafluoroundecanoic acid
371,Furan,Furfural
372,"Fatty acids, C16-18, lead salts",Stearic acid
373,Dioxobis(stearato)trilead,Lead(II) oxide
374,"Dinoseb (6-sec-butyl-2,4-dinitrophenol)",2-sec-butylphenol
375,Dimethyl sulphate,Methanol
376,Diisopentyl phthalate,Phthalic anhydride
377,Diethyl sulphate,Ethanol
378,Dibutyltin dichloride (DBTC),Tetrabutyltin
379,"Diazene-1,2-dicarboxamide (C,C'-azodi(formamide)) (ADCA)",Hydrazine
380,"Cyclohexane-1,2-dicarboxylic anhydride",Cyclohexene
381,"trans-cyclohexane-1,2-dicarboxylic anhydride","trans-cyclohexane-1,2-dicarboxylic acid"
382,"Cyclohexane-1,2-dicarboxylic anhydride","Cyclohex-4-ene-1,2-dicarboxylic anhydride"
383,"cis-cyclohexane-1,2-dicarboxylic anhydride","cis-cyclohexane-1,2-dicarboxylic acid"
384,Bis(pentabromophenyl) ether (decabromodiphenyl ether) (DecaBDE),Diphenyl ether
385,Biphenyl-4-ylamine,Biphenyl
386,"Acetic acid, lead salt, basic",Lead(II) acetate
387,[Phthalato(2-)]dioxotrilead,Lead(II) oxide
388,6-methoxy-m-toluidine (p-cresidine),2-nitro-p-cresol
389,"4-Nonylphenol, branched and linear","Phenol, Nonene"
390,p-(1-methyloctyl)phenol,"Phenol, 2-nonene"
391,p-isononylphenol,"Phenol,Nonene"
392,"4-(1-Ethyl-1,4-dimethylpentyl)phenol",Phenol
393,"4-(1-Ethyl-1,3-dimethylpentyl)phenol",Phenol
394,"p-(1,1-dimethylheptyl)phenol",Phenol
395,4-(1-ethyl-1-methylhexyl)phenol,Phenol
396,p-nonylphenol,Phenol
397,"Phenol, 4-nonyl-, branched","Phenol, Nonene"
398,"Phenol, nonyl-, branched",Phenol
399,"4-(1,1,5-Trimethylhexyl)phenol",Phenol
400,Nonylphenol,"Phenol,Nonene"
401,4-(3-ethylheptan-2-yl)phenol,Phenol
402,Isononylphenol,Phenol
403,"4-methyl-m-phenylenediamine (toluene-2,4-diamine)","2,4-dinitrotoluene"
404,4-aminoazobenzene,Aniline
405,"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated","4-(1,1,3,3-tetramethylbutyl)phenol"
406,"2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]ethanol","4-(1,1,3,3-tetramethylbutyl)phenol"
407,"2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethanol","4-(1,1,3,3-tetramethylbutyl)phenol"
408,"20-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol","4-(1,1,3,3-tetramethylbutyl)phenol"
409,"Polyethylene glycol p-(1,1,3,3-tetramethylbutyl)phenyl ether","4-(1,1,3,3-tetramethylbutyl)phenol"
410,"Poly(oxy-1,2-ethanediyl), α-[(1,1,3,3-tetramethylbutyl)phenyl]-ω-hydroxy-","4-(1,1,3,3-tetramethylbutyl)phenol"
411,"4,4'-oxydianiline and its salts","4,4'-dinitrodiphenyl ether"
412,"4,4'-oxydianiline",4-chloronitrobenzene
413,"4,4'-methylenedi-o-toluidine",o-toluidine
414,"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",2-(ethylamino)butan-1-ol
415,1-bromopropane (n-propyl bromide),1-propanol
416,"1,2-diethoxyethane",2-chloroethyl ethyl ether
417,"1,2-Benzenedicarboxylic acid, dipentyl ester, branched and linear",Phthalic anhydride
418,"α,α-Bis[4-(dimethylamino)phenyl]-4 (phenylamino)naphthalene-1-methanol (C.I. Solvent Blue 4)",Naphthalic anhydride
419,"N,N,N',N'-tetramethyl-4,4'-methylenedianiline (Michler’s base)","N,N-dimethylaniline"
420,Lead(II) bis(methanesulfonate),"Lead(II) oxide,Methanesulfonic acid"
421,Formamide,Methyl formate
422,Diboron trioxide,Boric acid
423,"[4-[[4-anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene] dimethylammonium chloride (C.I. Basic Blue 26)","4,4'-bis(dimethylamino)benzophenone"
424,"[4-[4,4'-bis(dimethylamino) benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (C.I. Basic Violet 3)",Michler's ketone
425,"4,4'-bis(dimethylamino)benzophenone (Michler’s ketone)","N,N-dimethylaniline"
426,"4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol","4,4'-bis(dimethylamino)benzophenone"
427,"1,3,5-tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione (β-TGIC)",Isocyanuric acid
428,"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione (TGIC)",Isocyanuric acid
429,"1,2-bis(2-methoxyethoxy)ethane (TEGDME; triglyme)",Triethylene glycol
430,"1, 2-dimethoxyethane; ethylene glycol dimethyl ether (EGDME)",Ethylene glycol
431,Zirconia Aluminosilicate Refractory Ceramic Fibres,"Aluminum oxide,Silicon dioxide,Zirconium dioxide"
432,"Refractories, fibers, aluminosilicate",Kaolin
433,Trilead diarsenate,Lead(II) oxide
434,Potassium hydroxyoctaoxodizincatedichromate,Zinc oxide
435,Phenolphthalein,"Phthalic anhydride, Phenol"
436,Pentazinc chromate octahydroxide,Zinc oxide
437,"N,N-dimethylacetamide","Dimethylamine, Acetic acid"
438,Lead styphnate,Styphnic acid
439,Lead dipicrate,Picric acid
440,"Lead diazide, Lead azide",Sodium azide
441,"Formaldehyde, oligomeric reaction products with aniline","Aniline,Formaldehyde"
442,Dichromium tris(chromate),Chromium(III) oxide
443,Calcium arsenate,Arsenic acid
444,Bis(2-methoxyethyl) phthalate,Phthalic anhydride
445,Bis(2-methoxyethyl) ether,2-Methoxyethanol
446,Arsenic acid,Arsenic trioxide
447,Aluminosilicate Refractory Ceramic Fibres,Kaolin
448,"Refractories, fibers, aluminosilicate",Kaolin
449,"4-(1,1,3,3-tetramethylbutyl)phenol",Phenol
450,"2-Methoxyaniline, o-Anisidine",2-Nitroanisole
451,"2,2'-dichloro-4,4'-methylenedianiline",2-chloroaniline
452,"1,2-dichloroethane",Ethylene
453,Strontium chromate,"Strontium carbonate,Sodium chromate"
454,Hydrazine,Ammonia
455,2-ethoxyethyl acetate,2-ethoxyethanol
456,1-Methyl-2-pyrrolidone (NMP),gamma-Butyrolactone
457,"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",Phthalic anhydride
458,"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich",Phthalic anhydride
459,"1,2,3-trichloropropane",Allyl chloride
460,Cobalt(II) sulphate,Cobalt(II) oxide
461,Cobalt(II) dinitrate,Cobalt(II) oxide
462,Cobalt(II) diacetate,Cobalt(II) carbonate
463,Cobalt(II) carbonate,Cobalt(II) sulfate
464,Chromium trioxide,Sodium dichromate
465,Dichromic acid,Potassium dichromate
466,Chromic acid,Barium chromate
467,2-methoxyethanol,Ethylene oxide
468,2-ethoxyethanol,Ethylene oxide
469,Trichloroethylene,Tetrachloroethylene
470,Tetraboron disodium heptaoxide hydrate,Disodium octaborate tetrahydrate
471,Sodium chromate,Chromite ore
472,Potassium dichromate,Chromite ore
473,Potassium chromate,Chromium(III) oxide
474,Disodium tetraborate anhydrous",Boric acid
475,Boric acid,Borax
476,"Boric acid crude natural",Sodium tetraborate decahydrate
477,Boric acid,Borax
478,Ammonium dichromate,Sodium dichromate
479,Acrylamide,Acrylonitrile
480,Tris(2-chloroethyl) phosphate,Phosphoryl chloride
481,"Pitch, coal tar, high-temp.",Coal tar
482,Lead sulfochromate yellow (C.I. Pigment Yellow 34),Lead nitrate
483,Lead chromate molybdate sulphate red (C.I. Pigment Red 104),Lead nitrate
484,Lead chromate,Lead(II) nitrate
485,Diisobutyl phthalate,Phthalic anhydride
486,"Anthracene oil, anthracene-low",Coal tar
487,"Anthracene oil, anthracene paste, distn. lights",Anthracene oil
488,"Anthracene oil, anthracene paste, anthracene fraction",Anthracene
489,"Anthracene oil, anthracene paste",Coal tar
490,Anthracene oil,Coal tar
491,"2,4-dinitrotoluene",Toluene
492,Triethyl arsenate,Arsenic pentoxide
493,Sodium dichromate,Chromite ore
494,Lead hydrogen arsenate,Lead(II) acetate
495,Hexabromocyclododecane (HBCDD),"1,5,9-cyclododecatriene"
496,"1,2,5,6,9,10-hexabromocyclododecane","1,5,9-cyclododecatriene"
497,Hexabromocyclododecane,"1,5,9-cyclododcatriene"
498,alpha-hexabromocyclododecane,"1,5,9-cyclododecatriene"
499,beta-hexabromocyclododecane,"1,5,9-cyclododecatriene"
500,gamma-hexabromocyclododecane,"1,5,9-cyclododecatriene"
501,Dibutyl phthalate (DBP),Phthalic anhydride
502,Diarsenic trioxide,Arsenic
503,Diarsenic pentaoxide,Arsenic
504,Cobalt dichloride,Cobalt
505,Bis(tributyltin) oxide (TBTO),Tributyltin chloride
506,Bis (2-ethylhexyl)phthalate (DEHP),Phthalic anhydride
507,Benzyl butyl phthalate (BBP),Phthalic anhydride
508,Anthracene,Anthraquinone
509,"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",Paraffins (C10-13)
510,"5-tert-butyl-2,4,6-trinitro-m-xylene (Musk xylene)",5-tert-butyl-m-xylene
511,"4,4'- Diaminodiphenylmethane (MDA)",Aniline
